Population,Year
279040168,1999
281421906,2000
284968955,2001
287625193,2002
290107933,2003
292805298,2004
295516599,2005
298379912,2006
301231207,2007
304093966,2008
306771529,2009
308745538,2010
311591917,2011
313914040,2012
316128839,2013
318857056,2014
321418820,2015
323127513,2016
325719178,2017
327167434,2018
328239523,2019
331449281,2020
